"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2019","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","15,495,000","26.4"
"CENSUS","2019","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","66,906,000","36.6"
"CENSUS","2019","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","53,171,000","10.5"
"CENSUS","2019","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","15,434,000","10.5"
"CENSUS","2019","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","69,101,000","13.5"
"CENSUS","2019","YEAR","","STATE","KANSAS","20","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","28,631,000","17.1"
"CENSUS","2019","YEAR","","STATE","KENTUCKY","21","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","9,967,000","13.3"
"CENSUS","2019","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1,626,000","23.2"
"CENSUS","2019","YEAR","","STATE","MAINE","23","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","33,890,000","11.7"
"CENSUS","2019","YEAR","","STATE","MARYLAND","24","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","9,720,000","11.7"
"CENSUS","2019","YEAR","","STATE","MASSACHUSETTS","25","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","24,837,000","11.7"
"CENSUS","2019","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","75,153,000","10.5"
"CENSUS","2019","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","61,998,000","11.4"
"CENSUS","2019","YEAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","6,016,000","23.2"
"CENSUS","2019","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","21,488,000","10.5"
"CENSUS","2019","YEAR","","STATE","MONTANA","30","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","51,528,000","32.4"
"CENSUS","2019","YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","76,283,000","17.1"
"CENSUS","2019","YEAR","","STATE","NEVADA","32","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2019","YEAR","","STATE","NEW HAMPSHIRE","33","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","4,996,000","11.7"
"CENSUS","2019","YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2019","YEAR","","STATE","NEW MEXICO","35","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","17,533,000","32.4"
"CENSUS","2019","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","105,014,000","13.4"
"CENSUS","2019","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","65,429,000","13.3"
"CENSUS","2019","YEAR","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","26,436,000","17.1"
"CENSUS","2019","YEAR","","STATE","OHIO","39","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","36,445,000","8.3"
"CENSUS","2019","YEAR","","STATE","OKLAHOMA","40","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","5,650,000","13.7"
"CENSUS","2019","YEAR","","STATE","OREGON","41","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","323,295,000","36.6"
"CENSUS","2019","YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","123,656,000","25.8"
"CENSUS","2019","YEAR","","STATE","RHODE ISLAND","44","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2019","YEAR","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","21,636,000","23.2"
"CENSUS","2019","YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","10,821,000","17.1"
"CENSUS","2019","YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","6,412,000","13.3"
"CENSUS","2019","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","111,631,000","13.7"
"CENSUS","2019","YEAR","","STATE","UTAH","49","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","10,233,000","32.4"
"CENSUS","2019","YEAR","","STATE","VERMONT","50","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","81,972,000","28.0"
"CENSUS","2019","YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","42,043,000","13.3"
"CENSUS","2019","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","717,331,000","30.9"
"CENSUS","2019","YEAR","","STATE","WEST VIRGINIA","54","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","286,000","13.3"
"CENSUS","2019","YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","65,749,000","14.8"
"CENSUS","2019","YEAR","","STATE","WYOMING","56","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2018","YEAR","","PUERTO RICO & OUTLYING AREAS","PUERTO RICO","72","","","","","","PUERTO RICO","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","61,170","24.8"
"CENSUS","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","4,192,527,000","4.5"
"CENSUS","2016","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2016","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2016","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2016","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","4,312,000","6"
"CENSUS","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2,129,278,000","8.1"
"CENSUS","2016","YEAR","","STATE","COLORADO","08","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","74,374,000","7.2"
"CENSUS","2016","YEAR","","STATE","CONNECTICUT","09","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","6,127,000","5.4"
"CENSUS","2016","YEAR","","STATE","DELAWARE","10","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2016","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","72,319,000","6"
"CENSUS","2016","YEAR","","STATE","GEORGIA","13","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","14,576,000","6"
"CENSUS","2016","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","11,718,000","11.2"
"CENSUS","2016","YEAR","","STATE","IDAHO","16","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","51,172,000","5.6"
"CENSUS","2016","YEAR","","STATE","ILLINOIS","17","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","28,994,000","4"
"CENSUS","2016","YEAR","","STATE","INDIANA","18","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","10,859,000","4"
"CENSUS","2016","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","57,124,000","5.9"
"CENSUS","2016","YEAR","","STATE","KANSAS","20","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2016","YEAR","","STATE","KENTUCKY","21","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","5,388,000","3.3"
"CENSUS","2016","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1,095,000","6"
"CENSUS","2016","YEAR","","STATE","MAINE","23","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","40,735,000","5.4"
"CENSUS","2016","YEAR","","STATE","MARYLAND","24","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","9,535,000","5.4"
"CENSUS","2016","YEAR","","STATE","MASSACHUSETTS","25","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","18,448,000","5.4"
"CENSUS","2016","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","48,644,000","4"
"CENSUS","2016","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","51,223,000","6.1"
"CENSUS","2016","YEAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","10,110,000","6"
"CENSUS","2016","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","15,470,000","4"
"CENSUS","2016","YEAR","","STATE","MONTANA","30","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","39,286,000","7.2"
"CENSUS","2016","YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2016","YEAR","","STATE","NEVADA","32","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2016","YEAR","","STATE","NEW HAMPSHIRE","33","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","4,121,000","5.4"
"CENSUS","2016","YEAR","","STATE","NEW JERSEY","34","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","8,782,000","5.4"
"CENSUS","2016","YEAR","","STATE","NEW MEXICO","35","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","9,298,000","7.2"
"CENSUS","2016","YEAR","","STATE","NEW YORK","36","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","52,483,000","7.7"
"CENSUS","2016","YEAR","","STATE","NORTH CAROLINA","37","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","78,301,000","3.3"
"CENSUS","2016","YEAR","","STATE","NORTH DAKOTA","38","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","21,878,000","5.5"
"CENSUS","2016","YEAR","","STATE","OHIO","39","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","23,380,000","4.7"
"CENSUS","2016","YEAR","","STATE","OKLAHOMA","40","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2016","YEAR","","STATE","OREGON","41","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","216,607,000","5.6"
"CENSUS","2016","YEAR","","STATE","PENNSYLVANIA","42","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","83,520,000","10.1"
"CENSUS","2016","YEAR","","STATE","RHODE ISLAND","44","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2,210,000","5.4"
"CENSUS","2016","YEAR","","STATE","SOUTH CAROLINA","45","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2016","YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","13,377,000","5.5"
"CENSUS","2016","YEAR","","STATE","TENNESSEE","47","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2016","YEAR","","STATE","TEXAS","48","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","73,251,000","8.4"
"CENSUS","2016","YEAR","","STATE","UTAH","49","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","12,574,000","7.2"
"CENSUS","2016","YEAR","","STATE","VERMONT","50","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","55,938,000","6.6"
"CENSUS","2016","YEAR","","STATE","VIRGINIA","51","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","29,087,000","3.3"
"CENSUS","2016","YEAR","","STATE","WASHINGTON","53","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","533,434,000","6.1"
"CENSUS","2016","YEAR","","STATE","WEST VIRGINIA","54","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2016","YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","58,230,000","3.2"
"CENSUS","2016","YEAR","","STATE","WYOMING","56","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","12,035,000","7.2"
"CENSUS","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","3,509,632,000","12.2"
"CENSUS","2015","YEAR","","STATE","ALABAMA","01","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2015","YEAR","","STATE","ALASKA","02","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)"," (D)","(D)"
"CENSUS","2015","YEAR","","STATE","ARIZONA","04","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","124,584,000","28.8"
"CENSUS","2015","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","CROP TOTALS","CROP TOTALS, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","1,947,000","19.8"
